Date,Cases,Incidence
2005-01-01,,7.35E-07
2005-01-02,,2.94E-07
2005-01-03,,5.88E-07
2005-01-04,,6.62E-07
2005-01-05,,8.09E-07
2005-01-06,,4.41E-07
2005-01-07,,6.62E-07
2005-01-08,,5.15E-07
2005-01-09,,6.62E-07
2005-01-10,,5.88E-07
2005-01-11,,1.03E-06
2005-01-12,,4.41E-07
2005-01-13,,5.88E-07
2005-01-14,,6.62E-07
2005-01-15,,4.41E-07
2005-01-16,,5.15E-07
2005-01-17,,1.10E-06
2005-01-18,,3.68E-07
2005-01-19,,5.15E-07
2005-01-20,,8.09E-07
2005-01-21,,7.35E-07
2005-01-22,,2.21E-07
2005-01-23,,5.88E-07
2005-01-24,,8.09E-07
2005-01-25,,7.35E-07
2005-01-26,,5.88E-07
2005-01-27,,3.68E-07
2005-01-28,,7.35E-07
2005-01-29,,4.41E-07
2005-01-30,,4.41E-07
2005-01-31,,4.41E-07
2005-02-01,,5.88E-07
2005-02-02,,7.35E-07
2005-02-03,,5.15E-07
2005-02-04,,6.62E-07
2005-02-05,,4.41E-07
2005-02-06,,4.41E-07
2005-02-07,,9.56E-07
2005-02-08,,8.09E-07
2005-02-09,,5.15E-07
2005-02-10,,8.82E-07
2005-02-11,,3.68E-07
2005-02-12,,5.88E-07
2005-02-13,,1.47E-07
2005-02-14,,0.00000125
2005-02-15,,8.09E-07
2005-02-16,,8.09E-07
2005-02-17,,4.41E-07
2005-02-18,,8.09E-07
2005-02-19,,2.21E-07
2005-02-20,,3.68E-07
2005-02-21,,2.94E-07
2005-02-22,,6.62E-07
2005-02-23,,2.21E-07
2005-02-24,,4.41E-07
2005-02-25,,6.62E-07
2005-02-26,,2.94E-07
2005-02-27,,4.41E-07
2005-02-28,,7.35E-07
2005-03-01,,3.68E-07
2005-03-02,,4.41E-07
2005-03-03,,5.15E-07
2005-03-04,,6.62E-07
2005-03-05,,2.21E-07
2005-03-06,,2.21E-07
2005-03-07,,5.15E-07
2005-03-08,,5.15E-07
2005-03-09,,8.82E-07
2005-03-10,,5.15E-07
2005-03-11,,3.68E-07
2005-03-12,,3.68E-07
2005-03-13,,2.21E-07
2005-03-14,,6.62E-07
2005-03-15,,7.35E-07
2005-03-16,,5.88E-07
2005-03-17,,2.94E-07
2005-03-18,,7.35E-07
2005-03-19,,2.94E-07
2005-03-20,,2.21E-07
2005-03-21,,3.68E-07
2005-03-22,,2.94E-07
2005-03-23,,5.88E-07
2005-03-24,,1.10E-06
2005-03-25,,4.41E-07
2005-03-26,,6.62E-07
2005-03-27,,4.41E-07
2005-03-28,,8.09E-07
2005-03-29,,1.32E-06
2005-03-30,,6.62E-07
2005-03-31,,2.94E-07
2005-04-01,,1.10E-06
2005-04-02,,9.56E-07
2005-04-03,,1.47E-07
2005-04-04,,7.35E-07
2005-04-05,,8.82E-07
2005-04-06,,5.15E-07
2005-04-07,,5.88E-07
2005-04-08,,8.09E-07
2005-04-09,,2.94E-07
2005-04-10,,2.94E-07
2005-04-11,,8.82E-07
2005-04-12,,5.15E-07
2005-04-13,,3.68E-07
2005-04-14,,7.35E-07
2005-04-15,,9.56E-07
2005-04-16,,5.15E-07
2005-04-17,,1.47E-07
2005-04-18,,6.62E-07
2005-04-19,,5.15E-07
2005-04-20,,5.15E-07
2005-04-21,,5.88E-07
2005-04-22,,4.41E-07
2005-04-23,,2.21E-07
2005-04-24,,5.15E-07
2005-04-25,,9.56E-07
2005-04-26,,2.94E-07
2005-04-27,,8.09E-07
2005-04-28,,7.35E-07
2005-04-29,,5.88E-07
2005-04-30,,2.94E-07
2005-05-01,,7.35E-07
2005-05-02,,8.82E-07
2005-05-03,,2.94E-07
2005-05-04,,8.09E-07
2005-05-05,,1.03E-06
2005-05-06,,5.88E-07
2005-05-07,,2.94E-07
2005-05-08,,2.21E-07
2005-05-09,,7.35E-07
2005-05-10,,1.03E-06
2005-05-11,,8.82E-07
2005-05-12,,4.41E-07
2005-05-13,,5.15E-07
2005-05-14,,4.41E-07
2005-05-15,,3.68E-07
2005-05-16,,5.15E-07
2005-05-17,,5.88E-07
2005-05-18,,2.94E-07
2005-05-19,,5.15E-07
2005-05-20,,6.62E-07
2005-05-21,,4.41E-07
2005-05-22,,5.88E-07
2005-05-23,,7.35E-07
2005-05-24,,1.03E-06
2005-05-25,,4.41E-07
2005-05-26,,1.10E-06
2005-05-27,,1.03E-06
2005-05-28,,6.62E-07
2005-05-29,,2.94E-07
2005-05-30,,5.88E-07
2005-05-31,,9.56E-07
2005-06-01,,1.10E-06
2005-06-02,,4.41E-07
2005-06-03,,1.40E-06
2005-06-04,,5.15E-07
2005-06-05,,0.00000125
2005-06-06,,1.18E-06
2005-06-07,,8.82E-07
2005-06-08,,0.00000125
2005-06-09,,9.56E-07
2005-06-10,,8.82E-07
2005-06-11,,5.15E-07
2005-06-12,,6.62E-07
2005-06-13,,1.10E-06
2005-06-14,,1.03E-06
2005-06-15,,0.00000125
2005-06-16,,5.88E-07
2005-06-17,,9.56E-07
2005-06-18,,8.09E-07
2005-06-19,,7.35E-07
2005-06-20,,1.18E-06
2005-06-21,,4.41E-07
2005-06-22,,8.09E-07
2005-06-23,,8.09E-07
2005-06-24,,0.00000125
2005-06-25,,8.09E-07
2005-06-26,,9.56E-07
2005-06-27,,1.18E-06
2005-06-28,,1.10E-06
2005-06-29,,5.88E-07
2005-06-30,,1.10E-06
2005-07-01,,1.40E-06
2005-07-02,,8.82E-07
2005-07-03,,9.56E-07
2005-07-04,,1.47E-06
2005-07-05,,1.62E-06
2005-07-06,,1.18E-06
2005-07-07,,1.18E-06
2005-07-08,,1.03E-06
2005-07-09,,7.35E-07
2005-07-10,,8.82E-07
2005-07-11,,1.47E-06
2005-07-12,,1.10E-06
2005-07-13,,1.47E-06
2005-07-14,,1.32E-06
2005-07-15,,1.54E-06
2005-07-16,,7.35E-07
2005-07-17,,7.35E-07
2005-07-18,,1.03E-06
2005-07-19,,1.47E-06
2005-07-20,,1.84E-06
2005-07-21,,1.47E-06
2005-07-22,,6.62E-07
2005-07-23,,4.41E-07
2005-07-24,,6.62E-07
2005-07-25,,8.09E-07
2005-07-26,,0.00000125
2005-07-27,,9.56E-07
2005-07-28,,5.15E-07
2005-07-29,,1.10E-06
2005-07-30,,8.82E-07
2005-07-31,,8.09E-07
2005-08-01,,8.82E-07
2005-08-02,,0.00000125
2005-08-03,,1.84E-06
2005-08-04,,1.10E-06
2005-08-05,,1.18E-06
2005-08-06,,9.56E-07
2005-08-07,,5.88E-07
2005-08-08,,1.99E-06
2005-08-09,,0.00000125
2005-08-10,,1.32E-06
2005-08-11,,7.35E-07
2005-08-12,,0.00000125
2005-08-13,,9.56E-07
2005-08-14,,3.68E-07
2005-08-15,,1.69E-06
2005-08-16,,0.00000125
2005-08-17,,1.32E-06
2005-08-18,,9.56E-07
2005-08-19,,1.03E-06
2005-08-20,,8.82E-07
2005-08-21,,8.09E-07
2005-08-22,,8.82E-07
2005-08-23,,1.47E-06
2005-08-24,,1.18E-06
2005-08-25,,8.82E-07
2005-08-26,,1.47E-06
2005-08-27,,8.09E-07
2005-08-28,,5.88E-07
2005-08-29,,0.00000125
2005-08-30,,1.84E-06
2005-08-31,,7.35E-07
2005-09-01,,0.00000125
2005-09-02,,1.32E-06
2005-09-03,,5.15E-07
2005-09-04,,1.54E-06
2005-09-05,,6.62E-07
2005-09-06,,1.40E-06
2005-09-07,,1.03E-06
2005-09-08,,8.09E-07
2005-09-09,,8.82E-07
2005-09-10,,1.40E-06
2005-09-11,,2.21E-07
2005-09-12,,1.69E-06
2005-09-13,,1.18E-06
2005-09-14,,1.10E-06
2005-09-15,,6.62E-07
2005-09-16,,1.32E-06
2005-09-17,,8.09E-07
2005-09-18,,5.88E-07
2005-09-19,,1.32E-06
2005-09-20,,1.62E-06
2005-09-21,,1.91E-06
2005-09-22,,1.03E-06
2005-09-23,,6.62E-07
2005-09-24,,5.15E-07
2005-09-25,,6.62E-07
2005-09-26,,1.18E-06
2005-09-27,,1.10E-06
2005-09-28,,1.32E-06
2005-09-29,,8.82E-07
2005-09-30,,8.09E-07
2005-10-01,,1.47E-06
2005-10-02,,9.56E-07
2005-10-03,,1.62E-06
2005-10-04,,8.09E-07
2005-10-05,,5.15E-07
2005-10-06,,6.62E-07
2005-10-07,,6.62E-07
2005-10-08,,6.62E-07
2005-10-09,,4.41E-07
2005-10-10,,8.09E-07
2005-10-11,,8.82E-07
2005-10-12,,1.32E-06
2005-10-13,,9.56E-07
2005-10-14,,1.32E-06
2005-10-15,,1.03E-06
2005-10-16,,6.62E-07
2005-10-17,,8.09E-07
2005-10-18,,7.35E-07
2005-10-19,,8.82E-07
2005-10-20,,6.62E-07
2005-10-21,,5.15E-07
2005-10-22,,3.68E-07
2005-10-23,,8.09E-07
2005-10-24,,7.35E-07
2005-10-25,,7.35E-07
2005-10-26,,1.10E-06
2005-10-27,,6.62E-07
2005-10-28,,8.09E-07
2005-10-29,,8.09E-07
2005-10-30,,4.41E-07
2005-10-31,,4.41E-07
2005-11-01,,7.35E-07
2005-11-02,,5.88E-07
2005-11-03,,7.35E-07
2005-11-04,,6.62E-07
2005-11-05,,5.88E-07
2005-11-06,,4.41E-07
2005-11-07,,9.56E-07
2005-11-08,,3.68E-07
2005-11-09,,2.94E-07
2005-11-10,,6.62E-07
2005-11-11,,5.15E-07
2005-11-12,,8.09E-07
2005-11-13,,5.88E-07
2005-11-14,,3.68E-07
2005-11-15,,9.56E-07
2005-11-16,,7.35E-07
2005-11-17,,5.15E-07
2005-11-18,,4.41E-07
2005-11-19,,3.68E-07
2005-11-20,,3.68E-07
2005-11-21,,7.35E-07
2005-11-22,,6.62E-07
2005-11-23,,7.35E-07
2005-11-24,,4.41E-07
2005-11-25,,5.15E-07
2005-11-26,,4.41E-07
2005-11-27,,5.15E-07
2005-11-28,,5.15E-07
2005-11-29,,2.94E-07
2005-11-30,,7.35E-07
2005-12-01,,5.88E-07
2005-12-02,,4.41E-07
2005-12-03,,5.15E-07
2005-12-04,,2.21E-07
2005-12-05,,4.41E-07
2005-12-06,,6.62E-07
2005-12-07,,3.68E-07
2005-12-08,,5.15E-07
2005-12-09,,6.62E-07
2005-12-10,,4.41E-07
2005-12-11,,2.94E-07
2005-12-12,,5.15E-07
2005-12-13,,6.62E-07
2005-12-14,,3.68E-07
2005-12-15,,6.62E-07
2005-12-16,,5.15E-07
2005-12-17,,4.41E-07
2005-12-18,,6.62E-07
2005-12-19,,4.41E-07
2005-12-20,,6.62E-07
2005-12-21,,6.62E-07
2005-12-22,,4.41E-07
2005-12-23,,5.88E-07
2005-12-24,,6.62E-07
2005-12-25,,4.41E-07
2005-12-26,,5.15E-07
2005-12-27,,5.15E-07
2005-12-28,,5.88E-07
2005-12-29,,2.94E-07
2005-12-30,,2.94E-07
2005-12-31,,3.68E-07
2006-01-01,,8.82E-07
2006-01-02,,5.15E-07
2006-01-03,,1.18E-06
2006-01-04,,8.09E-07
2006-01-05,,8.82E-07
2006-01-06,,2.21E-07
2006-01-07,,3.68E-07
2006-01-08,,3.68E-07
2006-01-09,,5.88E-07
2006-01-10,,2.21E-07
2006-01-11,,7.35E-08
2006-01-12,,5.15E-07
2006-01-13,,5.15E-07
2006-01-14,,2.94E-07
2006-01-15,,5.15E-07
2006-01-16,,6.62E-07
2006-01-17,,1.47E-07
2006-01-18,,8.82E-07
2006-01-19,,5.15E-07
2006-01-20,,2.94E-07
2006-01-21,,2.94E-07
2006-01-22,,3.68E-07
2006-01-23,,1.10E-06
2006-01-24,,5.88E-07
2006-01-25,,2.94E-07
2006-01-26,,5.15E-07
2006-01-27,,7.35E-07
2006-01-28,,5.15E-07
2006-01-29,,5.15E-07
2006-01-30,,6.62E-07
2006-01-31,,4.41E-07
2006-02-01,,1.10E-06
2006-02-02,,8.09E-07
2006-02-03,,3.68E-07
2006-02-04,,4.41E-07
2006-02-05,,4.41E-07
2006-02-06,,7.35E-07
2006-02-07,,8.09E-07
2006-02-08,,6.62E-07
2006-02-09,,4.41E-07
2006-02-10,,5.15E-07
2006-02-11,,2.94E-07
2006-02-12,,5.88E-07
2006-02-13,,2.94E-07
2006-02-14,,3.68E-07
2006-02-15,,5.15E-07
2006-02-16,,4.41E-07
2006-02-17,,5.88E-07
2006-02-18,,1.47E-07
2006-02-19,,2.94E-07
2006-02-20,,6.62E-07
2006-02-21,,3.68E-07
2006-02-22,,8.09E-07
2006-02-23,,2.21E-07
2006-02-24,,5.15E-07
2006-02-25,,2.21E-07
2006-02-26,,6.62E-07
2006-02-27,,5.15E-07
2006-02-28,,5.15E-07
2006-03-01,,4.41E-07
2006-03-02,,4.41E-07
2006-03-03,,5.15E-07
2006-03-04,,2.21E-07
2006-03-05,,6.62E-07
2006-03-06,,2.94E-07
2006-03-07,,1.47E-07
2006-03-08,,5.15E-07
2006-03-09,,3.68E-07
2006-03-10,,8.09E-07
2006-03-11,,2.21E-07
2006-03-12,,2.94E-07
2006-03-13,,7.35E-08
2006-03-14,,4.41E-07
2006-03-15,,2.94E-07
2006-03-16,,2.94E-07
2006-03-17,,5.15E-07
2006-03-18,,7.35E-07
2006-03-19,,8.09E-07
2006-03-20,,5.15E-07
2006-03-21,,5.88E-07
2006-03-22,,5.88E-07
2006-03-23,,3.68E-07
2006-03-24,,4.41E-07
2006-03-26,,2.21E-07
2006-03-27,,6.62E-07
2006-03-28,,2.94E-07
2006-03-29,,7.35E-08
2006-03-30,,6.62E-07
2006-03-31,,2.94E-07
2006-04-01,,2.21E-07
2006-04-02,,1.47E-07
2006-04-03,,5.15E-07
2006-04-04,,4.41E-07
2006-04-05,,3.68E-07
2006-04-06,,2.94E-07
2006-04-07,,6.62E-07
2006-04-08,,3.68E-07
2006-04-10,,4.41E-07
2006-04-11,,4.41E-07
2006-04-12,,2.21E-07
2006-04-13,,1.47E-07
2006-04-14,,2.94E-07
2006-04-15,,3.68E-07
2006-04-16,,5.15E-07
2006-04-17,,5.88E-07
2006-04-18,,4.41E-07
2006-04-19,,5.88E-07
2006-04-20,,7.35E-08
2006-04-21,,1.47E-07
2006-04-22,,4.41E-07
2006-04-23,,7.35E-08
2006-04-24,,1.18E-06
2006-04-25,,4.41E-07
2006-04-26,,5.15E-07
2006-04-27,,4.41E-07
2006-04-28,,2.21E-07
2006-04-29,,2.21E-07
2006-04-30,,2.21E-07
2006-05-01,,7.35E-07
2006-05-02,,2.94E-07
2006-05-03,,5.15E-07
2006-05-04,,6.62E-07
2006-05-05,,8.09E-07
2006-05-06,,3.68E-07
2006-05-07,,2.94E-07
2006-05-08,,2.94E-07
2006-05-09,,5.88E-07
2006-05-10,,2.21E-07
2006-05-11,,4.41E-07
2006-05-12,,2.94E-07
2006-05-13,,2.21E-07
2006-05-14,,3.68E-07
2006-05-15,,5.15E-07
2006-05-16,,3.68E-07
2006-05-17,,1.47E-07
2006-05-18,,2.94E-07
2006-05-19,,5.15E-07
2006-05-20,,7.35E-07
2006-05-21,,7.35E-07
2006-05-22,,2.94E-07
2006-05-23,,4.41E-07
2006-05-24,,5.88E-07
2006-05-25,,2.94E-07
2006-05-26,,3.68E-07
2006-05-27,,5.88E-07
2006-05-28,,8.09E-07
2006-05-29,,1.47E-06
2006-05-30,,1.03E-06
2006-05-31,,8.09E-07
2006-06-01,,1.40E-06
2006-06-02,,8.09E-07
2006-06-03,,7.35E-07
2006-06-04,,8.09E-07
2006-06-05,,8.82E-07
2006-06-06,,6.62E-07
2006-06-07,,1.40E-06
2006-06-08,,5.88E-07
2006-06-09,,5.15E-07
2006-06-10,,0.00000125
2006-06-11,,5.15E-07
2006-06-12,,9.56E-07
2006-06-13,,7.35E-07
2006-06-14,,5.15E-07
2006-06-15,,7.35E-07
2006-06-16,,7.35E-07
2006-06-17,,9.56E-07
2006-06-18,,5.15E-07
2006-06-19,,8.09E-07
2006-06-20,,8.09E-07
2006-06-21,,8.82E-07
2006-06-22,,1.03E-06
2006-06-23,,7.35E-07
2006-06-24,,4.41E-07
2006-06-25,,8.82E-07
2006-06-26,,6.62E-07
2006-06-27,,4.41E-07
2006-06-28,,7.35E-07
2006-06-29,,9.56E-07
2006-06-30,,1.32E-06
2006-07-01,,1.69E-06
2006-07-02,,1.03E-06
2006-07-03,,1.18E-06
2006-07-04,,1.03E-06
2006-07-05,,1.03E-06
2006-07-06,,1.47E-06
2006-07-07,,8.82E-07
2006-07-08,,1.10E-06
2006-07-09,,7.35E-07
2006-07-10,,1.10E-06
2006-07-11,,1.40E-06
2006-07-12,,1.62E-06
2006-07-13,,1.03E-06
2006-07-14,,0.00000125
2006-07-15,,1.84E-06
2006-07-16,,1.40E-06
2006-07-17,,1.69E-06
2006-07-18,,1.69E-06
2006-07-19,,6.62E-07
2006-07-20,,9.56E-07
2006-07-21,,0.00000125
2006-07-22,,1.47E-06
2006-07-23,,9.56E-07
2006-07-24,,1.40E-06
2006-07-25,,1.32E-06
2006-07-26,,7.35E-07
2006-07-27,,8.09E-07
2006-07-28,,1.10E-06
2006-07-29,,9.56E-07
2006-07-30,,9.56E-07
2006-07-31,,1.18E-06
2006-08-01,,2.21E-06
2006-08-02,,1.40E-06
2006-08-03,,1.10E-06
2006-08-04,,1.18E-06
2006-08-05,,0.00000125
2006-08-06,,0.00000125
2006-08-07,,1.03E-06
2006-08-08,,1.84E-06
2006-08-09,,1.76E-06
2006-08-10,,9.56E-07
2006-08-11,,1.03E-06
2006-08-12,,5.15E-07
2006-08-13,,9.56E-07
2006-08-14,,1.18E-06
2006-08-15,,1.18E-06
2006-08-16,,6.62E-07
2006-08-17,,1.03E-06
2006-08-18,,8.82E-07
2006-08-19,,4.41E-07
2006-08-20,,8.82E-07
2006-08-21,,1.40E-06
2006-08-22,,8.09E-07
2006-08-23,,1.18E-06
2006-08-24,,8.82E-07
2006-08-25,,0.00000125
2006-08-26,,1.18E-06
2006-08-27,,1.32E-06
2006-08-28,,1.62E-06
2006-08-29,,1.69E-06
2006-08-30,,0.00000125
2006-08-31,,9.56E-07
2006-09-01,,1.47E-06
2006-09-02,,7.35E-07
2006-09-03,,9.56E-07
2006-09-04,,6.62E-07
2006-09-05,,1.47E-06
2006-09-06,,1.18E-06
2006-09-07,,8.09E-07
2006-09-08,,5.15E-07
2006-09-09,,6.62E-07
2006-09-10,,1.03E-06
2006-09-11,,8.09E-07
2006-09-12,,1.10E-06
2006-09-13,,1.62E-06
2006-09-14,,1.03E-06
2006-09-15,,1.03E-06
2006-09-16,,5.88E-07
2006-09-17,,1.10E-06
2006-09-18,,1.40E-06
2006-09-19,,0.00000125
2006-09-20,,1.40E-06
2006-09-21,,5.88E-07
2006-09-22,,7.35E-07
2006-09-23,,8.82E-07
2006-09-24,,8.82E-07
2006-09-25,,7.35E-07
2006-09-26,,8.09E-07
2006-09-27,,1.03E-06
2006-09-28,,5.88E-07
2006-09-29,,1.47E-06
2006-09-30,,4.41E-07
2006-10-01,,5.88E-07
2006-10-02,,7.35E-07
2006-10-03,,1.32E-06
2006-10-04,,1.10E-06
2006-10-05,,8.82E-07
2006-10-06,,1.32E-06
2006-10-07,,8.82E-07
2006-10-08,,6.62E-07
2006-10-09,,9.56E-07
2006-10-10,,1.62E-06
2006-10-11,,8.09E-07
2006-10-12,,4.41E-07
2006-10-13,,8.82E-07
2006-10-14,,6.62E-07
2006-10-15,,2.94E-07
2006-10-16,,7.35E-07
2006-10-17,,5.15E-07
2006-10-18,,8.82E-07
2006-10-19,,6.62E-07
2006-10-20,,8.09E-07
2006-10-21,,4.41E-07
2006-10-22,,9.56E-07
2006-10-23,,5.88E-07
2006-10-24,,8.82E-07
2006-10-25,,1.10E-06
2006-10-26,,5.88E-07
2006-10-27,,7.35E-07
2006-10-28,,7.35E-07
2006-10-29,,2.21E-07
2006-10-30,,1.03E-06
2006-10-31,,3.68E-07
2006-11-01,,4.41E-07
2006-11-02,,4.41E-07
2006-11-03,,9.56E-07
2006-11-04,,4.41E-07
2006-11-05,,3.68E-07
2006-11-06,,2.94E-07
2006-11-07,,1.47E-07
2006-11-08,,6.62E-07
2006-11-09,,5.88E-07
2006-11-10,,9.56E-07
2006-11-11,,7.35E-07
2006-11-12,,1.47E-07
2006-11-13,,5.88E-07
2006-11-14,,6.62E-07
2006-11-15,,5.88E-07
2006-11-16,,8.09E-07
2006-11-17,,3.68E-07
2006-11-18,,2.94E-07
2006-11-19,,6.62E-07
2006-11-20,,8.82E-07
2006-11-21,,1.03E-06
2006-11-22,,4.41E-07
2006-11-23,,8.09E-07
2006-11-24,,4.41E-07
2006-11-25,,3.68E-07
2006-11-26,,2.94E-07
2006-11-27,,7.35E-07
2006-11-28,,4.41E-07
2006-11-29,,3.68E-07
2006-11-30,,1.47E-07
2006-12-01,,6.62E-07
2006-12-02,,2.94E-07
2006-12-03,,1.47E-07
2006-12-04,,9.56E-07
2006-12-05,,5.15E-07
2006-12-06,,3.68E-07
2006-12-07,,2.21E-07
2006-12-08,,3.68E-07
2006-12-09,,4.41E-07
2006-12-10,,3.68E-07
2006-12-11,,2.21E-07
2006-12-12,,3.68E-07
2006-12-13,,3.68E-07
2006-12-14,,3.68E-07
2006-12-15,,3.68E-07
2006-12-16,,5.15E-07
2006-12-17,,2.21E-07
2006-12-18,,2.94E-07
2006-12-19,,6.62E-07
2006-12-20,,6.62E-07
2006-12-21,,2.21E-07
2006-12-22,,2.94E-07
2006-12-23,,2.21E-07
2006-12-24,,2.21E-07
2006-12-25,,2.94E-07
2006-12-26,,3.68E-07
2006-12-27,,2.94E-07
2006-12-28,,7.35E-08
2006-12-29,,4.41E-07
2006-12-30,,1.47E-07
2006-12-31,,7.35E-08
2007-01-01,,1.10E-06
2007-01-02,,4.41E-07
2007-01-03,,4.41E-07
2007-01-04,,8.82E-07
2007-01-05,,8.09E-07
2007-01-06,,2.21E-07
2007-01-07,,2.94E-07
2007-01-08,,6.62E-07
2007-01-09,,2.94E-07
2007-01-10,,5.88E-07
2007-01-11,,5.15E-07
2007-01-12,,3.68E-07
2007-01-13,,4.41E-07
2007-01-14,,2.21E-07
2007-01-15,,4.41E-07
2007-01-16,,2.21E-07
2007-01-17,,5.88E-07
2007-01-18,,3.68E-07
2007-01-19,,2.94E-07
2007-01-20,,2.94E-07
2007-01-21,,1.47E-07
2007-01-22,,5.88E-07
2007-01-23,,5.88E-07
2007-01-24,,4.41E-07
2007-01-25,,3.68E-07
2007-01-26,,3.68E-07
2007-01-27,,7.35E-08
2007-01-29,,5.88E-07
2007-01-30,,7.35E-08
2007-01-31,,4.41E-07
2007-02-01,,2.21E-07
2007-02-02,,2.94E-07
2007-02-03,,2.21E-07
2007-02-04,,2.21E-07
2007-02-05,,2.94E-07
2007-02-06,,3.68E-07
2007-02-07,,5.15E-07
2007-02-08,,2.94E-07
2007-02-09,,1.47E-07
2007-02-10,,1.47E-07
2007-02-11,,4.41E-07
2007-02-12,,8.09E-07
2007-02-13,,2.21E-07
2007-02-14,,5.15E-07
2007-02-15,,2.94E-07
2007-02-16,,7.35E-08
2007-02-17,,4.41E-07
2007-02-18,,5.15E-07
2007-02-19,,4.41E-07
2007-02-20,,2.94E-07
2007-02-21,,5.88E-07
2007-02-22,,3.68E-07
2007-02-23,,4.41E-07
2007-02-24,,2.94E-07
2007-02-25,,3.68E-07
2007-02-26,,5.88E-07
2007-02-27,,2.21E-07
2007-02-28,,8.09E-07
2007-03-01,,7.35E-07
2007-03-02,,4.41E-07
2007-03-03,,7.35E-08
2007-03-04,,1.47E-07
2007-03-05,,5.88E-07
2007-03-06,,4.41E-07
2007-03-07,,4.41E-07
2007-03-08,,5.15E-07
2007-03-09,,5.88E-07
2007-03-10,,5.15E-07
2007-03-11,,4.41E-07
2007-03-12,,2.21E-07
2007-03-13,,6.62E-07
